date,vix_close,vix_open,vix_high,vix_low,vix9d_close,vix9d_open,vix9d_high,vix9d_low,vvix
2022-01-03,16.6,17.6,18.54,16.56,16.6,17.6,18.54,16.56,108.45
2022-01-04,16.91,16.57,17.81,16.34,16.91,16.57,17.81,16.34,109.31
2022-01-05,19.73,17.07,20.17,16.58,19.73,17.07,20.17,16.58,119.31
2022-01-06,19.61,20.29,21.06,19.08,19.61,20.29,21.06,19.08,117.82
2022-01-07,18.76,19.85,20.8,18.57,18.76,19.85,20.8,18.57,113.86
2022-01-10,19.4,19.58,23.33,19.29,19.4,19.58,23.33,19.29,113.02
2022-01-11,18.41,19.62,21.0,18.2,18.41,19.62,21.0,18.2,111.61
2022-01-12,17.62,18.17,18.69,17.36,17.62,18.17,18.69,17.36,113.94
2022-01-13,20.31,18.06,20.61,17.45,20.31,18.06,20.61,17.45,123.44
2022-01-14,19.19,20.11,22.07,19.05,19.19,20.11,22.07,19.05,117.57
2022-01-18,22.79,21.18,23.2,21.18,22.79,21.18,23.2,21.18,127.95
2022-01-19,23.85,23.12,23.99,21.85,23.85,23.12,23.99,21.85,129.85
2022-01-20,25.59,23.46,25.89,21.68,25.59,23.46,25.89,21.68,135.6
2022-01-21,28.85,25.38,29.79,25.31,28.85,25.38,29.79,25.31,149.5
2022-01-24,29.9,28.2,38.94,28.02,29.9,28.2,38.94,28.02,154.38
2022-01-25,31.16,32.29,35.85,29.13,31.16,32.29,35.85,29.13,150.8
2022-01-26,31.96,29.35,33.04,26.9,31.96,29.35,33.04,26.9,148.55
2022-01-27,30.49,32.19,33.0,28.42,30.49,32.19,33.0,28.42,141.14
2022-01-28,27.66,30.27,32.82,27.28,27.66,30.27,32.82,27.28,132.44
2022-01-31,24.83,28.36,29.41,24.71,24.83,28.36,29.41,24.71,125.06
2022-02-01,21.96,24.57,25.33,21.96,21.96,24.57,25.33,21.96,117.99
2022-02-02,22.09,21.56,22.73,20.46,22.09,21.56,22.73,20.46,119.61
2022-02-03,24.35,22.63,25.81,22.3,24.35,22.63,25.81,22.3,125.11
2022-02-04,23.22,23.77,26.26,22.07,23.22,23.77,26.26,22.07,124.89
2022-02-07,22.86,24.09,24.82,22.02,22.86,24.09,24.82,22.02,124.13
2022-02-08,21.44,23.09,23.48,21.32,21.44,23.09,23.48,21.32,118.86
2022-02-09,19.96,21.27,21.3,19.93,19.96,21.27,21.3,19.93,119.32
2022-02-10,23.91,20.37,24.77,20.18,23.91,20.37,24.77,20.18,129.1
2022-02-11,27.36,24.39,30.99,23.33,27.36,24.39,30.99,23.33,141.17
2022-02-14,28.33,29.17,32.04,28.33,28.33,29.17,32.04,28.33,140.59
2022-02-15,25.7,28.09,28.09,25.33,25.7,28.09,28.09,25.33,129.05
2022-02-16,24.29,25.19,27.09,23.88,24.29,25.19,27.09,23.88,122.58
2022-02-17,28.11,24.83,28.37,24.76,28.11,24.83,28.37,24.76,134.49
2022-02-18,27.75,26.66,29.71,26.38,27.75,26.66,29.71,26.38,133.64
2022-02-22,28.81,31.8,32.04,28.4,28.81,31.8,32.04,28.4,130.69
2022-02-23,31.02,28.04,31.07,27.2,31.02,28.04,31.07,27.2,131.24
2022-02-24,30.32,37.5,37.79,29.45,30.32,37.5,37.79,29.45,128.5
2022-02-25,27.59,31.68,32.0,26.93,27.59,31.68,32.0,26.93,117.76
2022-02-28,30.15,32.44,33.51,28.43,30.15,32.44,33.51,28.43,123.64
2022-03-01,33.32,29.45,35.19,29.44,33.32,29.45,35.19,29.44,132.8
2022-03-02,30.74,34.2,34.41,30.12,30.74,34.2,34.41,30.12,124.92
2022-03-03,30.48,30.52,32.01,29.31,30.48,30.52,32.01,29.31,122.36
2022-03-04,31.98,31.9,34.65,31.47,31.98,31.9,34.65,31.47,127.85
2022-03-07,36.45,35.88,36.55,32.59,36.45,35.88,36.55,32.59,133.66
2022-03-08,35.13,36.19,37.52,32.78,35.13,36.19,37.52,32.78,139.71
2022-03-09,32.45,33.74,34.12,31.39,32.45,33.74,34.12,31.39,130.86
2022-03-10,30.23,33.03,34.03,30.23,30.23,33.03,34.03,30.23,125.47
2022-03-11,30.75,30.43,31.04,28.84,30.75,30.43,31.04,28.84,125.58
2022-03-14,31.77,31.03,33.18,30.06,31.77,31.03,33.18,30.06,126.26
2022-03-15,29.83,33.13,33.83,29.57,29.83,33.13,33.83,29.57,122.18
2022-03-16,26.67,29.02,29.8,26.29,26.67,29.02,29.8,26.29,115.1
2022-03-17,25.67,26.51,27.47,25.25,25.67,26.51,27.47,25.25,109.25
2022-03-18,23.87,26.36,26.82,23.85,23.87,26.36,26.82,23.85,106.74
2022-03-21,23.53,25.14,25.36,22.99,23.53,25.14,25.36,22.99,108.96
2022-03-22,22.94,24.02,24.02,22.7,22.94,24.02,24.02,22.7,108.22
2022-03-23,23.57,23.04,24.03,22.64,23.57,23.04,24.03,22.64,108.77
